project,project_home,project_type,bioproject,study_name,project_title,project_description
SRP688199,data_sources/sra,data_sources,PRJNA1445956,"GEO accession GSE326579 is currently private and is scheduled to be released on Apr 06, 2026.",IL-17 Signaling Mediates Inflammation-Induced Capillary Leakage in addition to TNFa,"Capillary leak is a hallmark of acute and chronic inflammatory conditions and represents a critical driver of organ dysfunction and poor clinical outcomes. Despite its clinical relevance, the mechanisms governing endothelial destabilization under inflammatory conditions remain incompletely understood. In this study, we investigated the endothelial response to inflammation using a dynamic human in vitro model, in which human umbilical vein endothelial cells (HUVECs) were cultured in the presence of lipopolysaccharide (LPS)–stimulated human peripheral blood mononuclear cells (PBMCs) to mimic systemic inflammation. Under these conditions, endothelial cells exhibited a pronounced inflammatory response characterized by loss of barrier integrity and the formation of capillary leak–like structure"
SRP686226,data_sources/sra,data_sources,PRJNA1442035,"GEO accession GSE325833 is currently private and is scheduled to be released on Mar 24, 2030.",IL1R2 Identified as a Key Hub Gene Regulating Vascular Endothelial Function in Kawasaki Disease,"Background: Kawasaki disease (KD) is a multisystemic vasculitis of unknown aetiology in children. KD with coronary artery lesion is now the leading acquired heart disease in children. Peripheral blood mononuclear cells (PBMCs) play roles in KD. We identified hub genes based on RNA sequencing data and validated them in PBMCs and human umbilical vein endothelial cells (HUVECs) coculture with PBMCs. Methods: mRNA microarray of PBMCs from 12 acute KD patients and 12 healthy controls was performed to screen differentially expressed mRNAs (DE-mRNAs). We selected 20 KD patients and 20 healthy controls for validation, and established HUVECs coculture with PBMCs. Real time-PCR was finally conducted to confirm the reliability and validity of the expression level of DE-mRNAs from PBMCs and HUVECs coc"
SRP682233,data_sources/sra,data_sources,PRJNA1434350,"GEO accession GSE324277 is currently private and is scheduled to be released on Mar 13, 2026.",miRNA Expression data from human heatstroke patients,"This study examined miRNA responses to heat exposure in peripheral blood mononuclear cells from 19 patients with heat stroke and 19 controls. Overall design: We enrolled 19 non-heat stroke (NHS) pilgrims, friends, or relatives of heat stroke patients living in the same environmental heat as a control group. We obtained blood samples from control subjects upon enrolment and heat stroke patients on arrival to the cooling unit, before cooling (Heatstroke T0) and after cooling (Heatstroke T1)."
SRP681596,data_sources/sra,data_sources,PRJNA1433256,"GEO accession GSE324038 is currently private and is scheduled to be released on Apr 01, 2026.",HIF-1α and HIF-2α regulate overlapping and distinct transcriptional programs in primary human T cells [RNA-Seq],"Hypoxia-inducible factor 2α (HIF-2α) is a central oncogenic driver in clear cell renal cell carcinoma (ccRCC). Here, we investigated the cell-intrinsic effects of HIF-2α perturbation in primary human T cells. CRISPR/Cas9-mediated deletion of HIF-2α downregulated transcriptional programs associated with T cell effector function. Overall design: Primary human pan T cells were isolated by negative selection from peripheral blood mononuclear cells (PBMCs) obtained from healthy donors. T cells were activated with anti-CD3/CD28 Dynabeads and cultured under hypoxic conditions (1% O₂) to stabilize hypoxia-inducible factors prior to genetic perturbation.  CRISPR/Cas9-mediated knockout of HIF1A or EPAS1 (HIF-2α) was performed using ribonucleoprotein (RNP) electroporation. Briefly, synthetic crRNAs t"
SRP688390,data_sources/sra,data_sources,PRJNA1430401,Multi-omics profiling links IL10 to immune dysfunction and fatal outcomes in paediatric sepsis among African children,Multi-omics profiling links IL10 to immune dysfunction and fatal outcomes in paediatric sepsis among African children,"Sepsis is a major cause of childhood mortality in sub-Saharan Africa. Despite hospital admission and supportive care, mortality among young children with severe infection remains high. The biological mechanisms underlying poor outcomes in these settings are incompletely understood. This project contains raw RNA sequencing (RNA-seq) data generated from the discovery cohort of a multi-omic study investigating host immune responses associated with mortality in paediatric sepsis. The discovery cohort comprises 41 children aged 1-24 months admitted with life-threatening acute infection to Kilifi County Hospital, Kenya. Of these, 19 died during hospitalisation and 22 survived to discharge. Peripheral blood mononuclear cells (PBMCs) were isolated at admission and cryopreserved prior to RNA extrac"
SRP678472,data_sources/sra,data_sources,PRJNA1426442,The timing of antenatal glucocorticoids determines the receptor sensitivity in preterm infants,The timing of antenatal glucocorticoids determines the receptor sensitivity in preterm infants,"Approximately 15 million babies are born too early each year, corresponding to a global preterm birth rate of about 11%. The antenatal glucocorticoid (aGC) therapy is indicated to more than 90% of their mothers when there is a risk of preterm delivery between 24 and 34 weeks of gestation. Synthetic GCs (sGC) accelerate fetal lung maturation and reduce the risk of respiratory distress syndrome (RDS), the leading cause of mortality in preterm infants. However, this treatment has been associated with an increased vulnerability to develop neurobehavioral and immune disorders later in life, effects attributed to permanent changes in the stress axis activity and in the homeostasis of endogenous GCs. In the present study, we assessed the effect of the antenatal administration of aGCs in preterm b"
SRP677122,data_sources/sra,data_sources,PRJNA1423736,"GEO accession GSE319562 is currently private and is scheduled to be released on Apr 15, 2026.",Prognostic accuracy of a peripheral blood transcriptome signature in chronic hypersensitivity pneumonitis,"The prognostic value of peripheral blood mononuclear cell (PBMC) expression profiles, when used in patients with chronic hypersensitivity pneumonitis (CHP), as an adjunct to traditional clinical assessment is unknown. RNA-seq analysis on PBMC from 37 patients with CHP at initial presentation determined that (1) 74 differentially expressed transcripts at a 10% false discovery rate distinguished those with (n=10) and without (n=27) disease progression, defined as absolute FVC and/or diffusing capacity of the lungs for carbon monoxide (DLCO) decline of ≥10% and increased fibrosis on chest CT images within 24 months, and (2) classification models based on gene expression and clinical factors strongly outperform models based solely on clinical factors (baseline FVC%, DLCO% and chest CT fibrosis"
SRP676616,data_sources/sra,data_sources,PRJNA1422824,"GEO accession GSE319320 is currently private and is scheduled to be released on Feb 18, 2027.",Effect of ADAR1 silencing in human monocyte-derived macrophages II,"Adenosine deaminase acting on RNA 1 (ADAR1) regulates mRNA fate and function through adenosine-to-inosine (A-to-I) RNA editing and RNA-binding activities. While its role in innate immunity is well established, the broader regulatory functions of ADAR1 in macrophages remain poorly defined. Here, we systematically profiled ADAR1 expression across human immune cells and identified a marked enrichment in macrophages, driven by selective usage of an alternative transcription start site during monocyte-to-macrophage differentiation. ADAR1 binds, edits, and modulates key macrophage targets involved in efferocytosis, endocytosis, lysosomal processing, lipid metabolism, and proliferation in an isoform-specific manner. We further demonstrate that ADAR1 levels and activity are dynamically regulated i"
SRP676456,data_sources/sra,data_sources,PRJNA1422620,"GEO accession GSE319209 is currently private and is scheduled to be released on May 15, 2026.",Functional Genomic Profiling of Schizophrenia-Associated Genes Reveals Key Microglial Regulators,"Microglia are increasingly recognized as key regulators of neural circuit development and putative contributors to the pathophysiology of neuropsychiatric disorders such as schizophrenia (SCZ). However, the functional impact of SCZ-associated genes in microglia remains largely unexplored. Here, we performed an arrayed CRISPR targeting screen of 30 schizophrenia-associated genes predicted to be differentially expressed in human microglia-like cells. Target genes were prioritized based on post-mortem transcriptomic relevance and predicted ontology-based roles in phagocytosis pathways. We quantified phagocytic activity and morphological changes following gene targeting using high-content confocal imaging. Key targets, including CYFIP1, MSR1, TREM2, SYK, ITGB2, ITGAM and IRF8, modulated phagoc"
SRP673998,data_sources/sra,data_sources,PRJNA1417732,PBMC differentiation,PBMC differentiation,RNA-seq data from PBMCs cultured in 96-well plates
